                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5995,                 5.6766,                0.99356,                      0,                      0,                      0,                      0,                 1.4116,                 4.8217,                0.93261,                      0,                      0,                      0
                      1,                 1.6576,                 5.6389,                 1.1277,                      0,                      0,                      0,                      0,                  1.417,                 4.8267,                0.93309,              1.001e-05,              1.001e-05,              1.001e-05
                      2,                 1.3829,                 5.2699,                 1.0617,                      0,                      0,                      0,                      0,                 1.4158,                 4.8213,                0.93103,              1.782e-05,              1.782e-05,              1.782e-05
                      3,                  1.678,                  5.444,                 1.0992,                      0,                      0,                      0,                      0,                 1.4198,                 4.8153,                0.92885,             2.3431e-05,             2.3431e-05,             2.3431e-05
                      4,                 1.4905,                 5.4061,                 1.0556,                      0,                      0,                      0,                      0,                 1.4158,                  4.801,                0.92754,             2.6842e-05,             2.6842e-05,             2.6842e-05
                      5,                 2.1503,                 6.2907,                 1.1271,                      0,                      0,                      0,                      0,                 1.3901,                 4.7641,                0.91085,             2.8053e-05,             2.8053e-05,             2.8053e-05
                      6,                 1.9521,                 6.5247,                 1.1479,                      0,                      0,                      0,                      0,                 1.3468,                  4.762,                0.89278,             2.7064e-05,             2.7064e-05,             2.7064e-05
                      7,                 1.3303,                  5.651,                0.92705,                0.00229,                0.14286,                0.00147,                0.00015,                 1.3317,                  4.765,                 0.8853,             2.3875e-05,             2.3875e-05,             2.3875e-05
                      8,                 1.5741,                 6.2405,                 1.0008,                0.00229,                0.14286,                0.00133,                0.00027,                 1.2969,                 4.7699,                0.87396,             1.8487e-05,             1.8487e-05,             1.8487e-05
                      9,                  1.646,                 5.5731,                0.97235,                0.00234,                0.14286,                0.00137,                0.00041,                 1.2627,                 4.7896,                0.86572,             1.0899e-05,             1.0899e-05,             1.0899e-05
                      0,                 2.3792,                 4.8088,                 1.1998,                      0,                      0,                      0,                      0,                  1.409,                 4.8261,                0.93085,                      0,                      0,                      0
                      1,                  2.041,                  5.093,                 1.1058,                      0,                      0,                      0,                      0,                 1.4183,                 4.8179,                0.93315,                1.1e-05,                1.1e-05,                1.1e-05
                      2,                 2.2483,                 5.1192,                 1.2569,                      0,                      0,                      0,                      0,                 1.4161,                 4.8048,                0.92959,              2.178e-05,              2.178e-05,              2.178e-05
                      3,                 1.9702,                 5.1666,                 1.0836,                      0,                      0,                      0,                      0,                 1.4053,                 4.8016,                0.92567,              3.234e-05,              3.234e-05,              3.234e-05
                      4,                 2.1497,                 5.1235,                 1.2014,                      0,                      0,                      0,                      0,                 1.3947,                  4.806,                0.92727,              4.268e-05,              4.268e-05,              4.268e-05
                      5,                 1.8161,                 4.7956,                 1.0959,                      0,                      0,                      0,                      0,                 1.3613,                 4.8257,                0.92125,               5.28e-05,               5.28e-05,               5.28e-05
                      6,                 1.6802,                 5.3665,                 1.1191,                      0,                      0,                      0,                      0,                 1.3643,                 4.8132,                0.92051,               6.27e-05,               6.27e-05,               6.27e-05
                      7,                 1.6524,                 4.9287,                 1.0575,                      0,                      0,                      0,                      0,                 1.3673,                 4.8344,                0.92936,             7.2381e-05,             7.2381e-05,             7.2381e-05
                      8,                 1.6306,                 4.6476,                0.97592,                      0,                      0,                      0,                      0,                 1.3637,                 4.8417,                0.93675,             8.1841e-05,             8.1841e-05,             8.1841e-05
                      9,                 1.6301,                  5.022,                0.98479,                      0,                      0,                      0,                      0,                 1.3286,                 4.8327,                0.93051,             9.1081e-05,             9.1081e-05,             9.1081e-05
                     10,                 1.6281,                 4.4262,                0.97627,                      0,                      0,                      0,                      0,                 1.3109,                 4.8171,                0.92792,              0.0001001,              0.0001001,              0.0001001
                     11,                  1.362,                 4.1215,                0.93435,                      0,                      0,                      0,                      0,                 1.2525,                 4.7937,                0.91984,              0.0001089,              0.0001089,              0.0001089
                     12,                  1.551,                 4.6057,                 0.9069,                      0,                      0,                      0,                      0,                 1.1839,                 4.7579,                0.85782,             0.00011748,             0.00011748,             0.00011748
                     13,                 1.6286,                 4.1623,                0.95315,                      0,                      0,                      0,                      0,                 1.1487,                 4.7098,                0.86226,             0.00012584,             0.00012584,             0.00012584
                     14,                 1.6842,                 3.1411,                0.97953,                      0,                      0,                      0,                      0,                 1.1604,                 4.6252,                0.85489,             0.00013398,             0.00013398,             0.00013398
                     15,                 1.6795,                 3.0995,                0.86829,                      0,                      0,                      0,                      0,                 1.1553,                 4.6381,                0.85169,              0.0001419,              0.0001419,              0.0001419
                     16,                 1.6651,                 2.8058,                0.88189,                      0,                      0,                      0,                      0,                 1.1336,                 4.5377,                0.83986,              0.0001496,              0.0001496,              0.0001496
                     17,                  1.256,                 2.9522,                0.89845,                      0,                      0,                      0,                      0,                 1.1336,                 4.5377,                0.83986,             0.00015708,             0.00015708,             0.00015708
                     18,                 1.4662,                 2.8124,                0.94493,                      0,                      0,                      0,                      0,                 1.0512,                 4.4305,                0.82063,             0.00016434,             0.00016434,             0.00016434
                     19,                 1.3714,                 2.5456,                0.96014,                      0,                      0,                      0,                      0,                 1.0512,                 4.4305,                0.82063,             0.00017138,             0.00017138,             0.00017138
                     20,                 1.2365,                 2.9463,                0.93864,                0.00254,                0.14286,                0.14608,                0.10226,                 1.0698,                 4.3832,                0.81401,              0.0001782,              0.0001782,              0.0001782
                     21,                 1.8986,                 2.8208,                0.90865,                0.00254,                0.14286,                0.14608,                0.10226,                 1.0698,                 4.3832,                0.81401,              0.0001848,              0.0001848,              0.0001848
                     22,                  1.399,                  2.385,                0.87401,                0.01003,                0.57143,                0.42924,                0.30026,                 1.1076,                 4.2871,                0.81099,             0.00019119,             0.00019119,             0.00019119
                     23,                 1.5916,                 1.9662,                0.91444,                0.01003,                0.57143,                0.42924,                0.30026,                 1.1076,                 4.2871,                0.81099,             0.00019735,             0.00019735,             0.00019735
                     24,                 1.2379,                 2.6784,                 0.9065,                0.00966,                0.57143,                0.39445,                0.25811,                 1.1295,                 4.2363,                0.81102,             0.00020329,             0.00020329,             0.00020329
                     25,                 1.5005,                 3.4484,                 0.9803,                0.00966,                0.57143,                0.39445,                0.25811,                 1.1295,                 4.2363,                0.81102,             0.00020901,             0.00020901,             0.00020901
                     26,                 1.5565,                 1.9701,                0.87821,                0.00754,                0.42857,                0.21829,                0.14558,                  1.111,                 4.2439,                0.81272,             0.00021451,             0.00021451,             0.00021451
                     27,                 1.4011,                 1.9545,                 0.9397,                0.00754,                0.42857,                0.21829,                0.14558,                  1.111,                 4.2439,                0.81272,             0.00021979,             0.00021979,             0.00021979
                     28,                 1.5548,                 1.8114,                0.91192,                0.00754,                0.42857,                0.21829,                0.14558,                 1.1082,                 4.2326,                0.81075,             0.00022485,             0.00022485,             0.00022485
                     29,                 1.1159,                  2.047,                0.87848,                0.00754,                0.42857,                0.21829,                0.14558,                 1.1082,                 4.2326,                0.81075,             0.00022969,             0.00022969,             0.00022969
                     30,                 1.4074,                 1.7299,                0.97841,                0.00754,                0.42857,                0.21829,                0.14558,                 1.0827,                 4.2257,                0.81721,             0.00023431,             0.00023431,             0.00023431
                     31,                 1.5502,                 1.9882,                0.86468,                0.00754,                0.42857,                0.21829,                0.14558,                 1.0827,                 4.2257,                0.81721,             0.00023871,             0.00023871,             0.00023871
                     32,                 1.4413,                  1.655,                0.96205,                0.00754,                0.42857,                0.21829,                0.14558,                 1.0782,                 4.2195,                0.82382,             0.00024289,             0.00024289,             0.00024289
                     33,                 1.3783,                 1.9193,                0.95779,                0.00754,                0.42857,                0.21829,                0.14558,                 1.0782,                 4.2195,                0.82382,             0.00024685,             0.00024685,             0.00024685
                     34,                 1.1511,                 2.0852,                 0.9154,                0.00754,                0.42857,                0.21829,                0.14558,                 1.0757,                 4.2188,                0.82235,             0.00025059,             0.00025059,             0.00025059
                     35,                 1.2625,                 1.8919,                0.92082,                0.00754,                0.42857,                0.21829,                0.14558,                 1.0757,                 4.2188,                0.82235,             0.00025411,             0.00025411,             0.00025411
                     36,                 1.2263,                 2.2965,                0.99218,                0.00565,                0.28571,                0.17813,                0.12642,                 1.0244,                 4.1976,                0.81776,             0.00025741,             0.00025741,             0.00025741
                     37,                 1.3982,                 2.3631,                 1.1885,                0.00565,                0.28571,                0.17813,                0.12642,                 1.0244,                 4.1976,                0.81776,              0.0002605,              0.0002605,              0.0002605
                     38,                 1.3809,                  2.237,                0.97334,                0.00935,                0.42857,                0.31104,                0.22675,                0.98807,                 4.1672,                0.82486,             0.00026336,             0.00026336,             0.00026336
                     39,                 1.5027,                 1.9266,                0.95393,                0.00935,                0.42857,                0.31104,                0.22675,                0.98807,                 4.1672,                0.82486,               0.000266,               0.000266,               0.000266
                     40,                 1.1412,                 1.9638,                 0.9138,                0.00932,                0.42857,                 0.4277,                0.34216,                0.97725,                 4.1101,                 0.8298,             0.00026842,             0.00026842,             0.00026842
                     41,                 1.2809,                 1.7435,                0.97575,                0.00932,                0.42857,                 0.4277,                0.34216,                0.97725,                 4.1101,                 0.8298,             0.00027062,             0.00027062,             0.00027062
                     42,                 1.3286,                 2.1887,                 1.0436,                0.00917,                0.42857,                0.42765,                0.36631,                0.92278,                 4.0789,                0.82911,              0.0002726,              0.0002726,              0.0002726
                     43,                 1.2398,                 1.9747,                 0.9234,                0.00917,                0.42857,                0.42765,                0.36631,                0.92278,                 4.0789,                0.82911,             0.00027436,             0.00027436,             0.00027436
                     44,                 1.4995,                 1.7001,                0.97836,                0.01205,                0.57143,                0.46504,                0.37325,                0.87687,                 4.0317,                0.82246,              0.0002759,              0.0002759,              0.0002759
                     45,                 1.1615,                 1.3259,                0.89161,                0.01205,                0.57143,                0.46504,                0.37325,                0.87687,                 4.0317,                0.82246,             0.00027722,             0.00027722,             0.00027722
                     46,                 1.2706,                 2.3399,                 1.0598,                0.01246,                0.57143,                0.52763,                0.43673,                0.86136,                 4.0196,                0.81771,             0.00027832,             0.00027832,             0.00027832
                     47,                 1.1997,                 2.0972,                0.91256,                0.01246,                0.57143,                0.52763,                0.43673,                0.86136,                 4.0196,                0.81771,              0.0002792,              0.0002792,              0.0002792
                     48,                0.92099,                 1.6117,                0.94321,                0.01384,                0.57143,                0.57792,                0.47698,                0.82047,                 3.9734,                 0.8102,             0.00027987,             0.00027987,             0.00027987
                     49,                 1.1744,                 2.4102,                  1.054,                0.01384,                0.57143,                0.57792,                0.47698,                0.82047,                 3.9734,                 0.8102,             0.00028031,             0.00028031,             0.00028031
